name,gender,age,height,weight,marks
Iosep Ouldred,Male,16,145,40,20
Melany Elkington,Female,18,141,43,15
Nickolaus Standbrooke,Bigender,19,164,46,16
Jessie Jakubski,Male,16,152,40,4
Madelon Happer,Female,16,140,42,0
Alonso Millard,Male,16,140,49,20
Joli Gouldsmith,Female,17,162,42,79
Urban Haire,Male,17,155,41,25
Jerrine Kitcatt,Agender,15,157,43,78
Mildred Kliesl,Female,18,167,47,67
Sylvia Izakson,Genderqueer,19,149,45,82
Rolfe Asee,Male,15,145,41,92
Hobey Tremouille,Male,18,142,50,39
Noemi Rosencwaig,Female,18,147,44,34
Timmy Olifard,Male,17,149,45,88
Timmie Tille,Female,18,152,50,82
Filmore Branwhite,Male,18,141,43,45
Talyah McCreath,Female,18,161,42,99
Julianna Studdeard,Female,18,169,45,34
Tabbitha Siely,Female,17,169,41,39
Eleonore Alsford,Female,17,162,44,98
Casar Edelman,Male,15,168,43,37
Regan Pail,Male,18,161,50,28
Walton Challice,Male,19,151,44,32
Dennison Thirtle,Male,15,159,40,51
Parrnell Ianelli,Male,17,160,42,41
Georas Garnul,Male,16,149,48,49
Kenon Bendson,Male,18,144,46,41
Schuyler Vearncomb,Male,18,146,47,10
Remus Charity,Male,18,166,49,70
Johnette Rountree,Female,17,158,48,50
Dane Kreutzer,Male,15,159,41,65
Ivory Hubball,Female,17,152,41,37
Cosmo Bessett,Male,15,169,45,41
Christophe Ayris,Male,15,162,45,38
Ricardo Oxbie,Male,17,154,48,43
Swen Valentin,Male,15,144,50,85
Rorke Clineck,Male,16,147,44,56
Lisbeth Jeness,Female,15,169,50,68
Hesther Perrin,Female,19,148,41,67
Felisha Bodimeade,Genderqueer,17,148,43,6
Anitra McCawley,Female,15,147,45,62
Retha Rearden,Genderfluid,18,156,40,10
Powell Hedman,Male,15,149,47,58
Klarika Vignaux,Female,19,161,49,84
Corry Elcock,Female,19,155,41,87
Kelbee Rowson,Male,16,146,47,23
Urban Laflin,Male,16,170,41,31
Winonah Camplejohn,Female,19,167,46,15
Trudie Romanelli,Female,16,151,50,33
Inna Whitley,Female,17,148,50,52
Jewelle Gerault,Female,18,140,46,63
Abraham Trace,Male,16,164,48,27
Orazio Wooton,Male,17,142,47,60
Ennis Beaten,Male,18,169,48,34
Rosanna Fromont,Female,16,157,47,58
Brandice Bedome,Female,16,152,44,88
Rowney Probin,Male,15,160,45,25
Danya Gardiner,Male,17,163,40,65
Giulia Lockner,Female,18,150,48,46
Megen Casier,Female,19,160,46,36
Kele Wharfe,Male,16,156,43,36
Cheston Cochet,Male,17,164,43,34
Austen Wolfit,Male,15,154,48,22
Janean Rowberry,Polygender,18,154,42,70
Karia Garratty,Female,17,152,44,1
Rodrick Morrant,Male,15,153,46,96
Dyanna Farish,Female,16,140,40,62
Gaye Parlatt,Female,17,168,47,31
Jerad McMeeking,Male,16,141,43,75
Jerrie Rawls,Male,16,155,45,45
Goraud Jakaway,Male,16,143,47,67
Dollie Bartosik,Female,16,159,43,55
Dougy Sweeten,Male,18,146,42,13
Aleen Uglow,Female,17,163,46,63
Jena Colbourn,Female,19,155,42,24
Karoly Faragher,Female,15,144,42,26
Lavinie Handes,Female,16,163,48,1
Bertram Ivanusyev,Polygender,16,159,49,32
Boonie Dach,Male,17,151,41,60
Jamie Podbury,Male,17,156,44,4
Zoe Nevett,Female,18,158,50,37
Melissa Trodden,Female,19,167,48,61
Poppy Beveridge,Bigender,15,156,41,38
Maud Adriani,Female,18,156,49,41
Herrick Ibell,Male,16,150,45,97
Chrissy Moretto,Male,16,143,40,17
Eddie Hessentaler,Female,18,149,41,24
Brunhilde Godfery,Female,19,167,45,67
Adams Trustram,Male,15,146,45,38
Steve Ibbotson,Male,15,145,43,71
Robbyn Krysztowczyk,Female,17,162,42,73
Hanan Retallick,Male,18,140,42,55
Angela Ivantyev,Female,18,159,45,69
Carilyn Stanaway,Female,18,148,44,91
Gwennie Trill,Female,17,150,50,92
Jessie Morlon,Agender,16,170,48,14
Erasmus Kalinke,Male,16,149,45,30
Jolee Farfalameev,Female,17,151,48,25
Dodi Bussey,Female,18,165,50,43
Christal Willison,Female,17,167,47,87
Aldus Rodder,Male,19,143,48,82
Brandais Mordan,Female,16,160,44,87
Alexei Pellitt,Genderqueer,19,155,47,96
Chaddie Straker,Male,16,144,42,56
Myrwyn Mateos,Male,16,150,43,97
Ira Devenport,Male,19,153,40,43
Ingeborg Sorbie,Female,19,142,50,89
Toby Ariss,Male,17,166,49,60
Obadiah Ailsbury,Genderqueer,15,144,40,7
Stinky Fidoe,Male,15,153,44,89
Barr Hatcher,Male,19,148,45,93
Keary Jodrellec,Male,19,170,47,16
Keene Cathro,Male,18,157,47,62
Tierney Mathwin,Female,19,165,41,79
Xena Nitti,Female,15,166,48,56
Vivian Roizn,Female,18,146,49,3
Feodor Bacon,Male,16,154,43,2
Pierson Raraty,Male,15,162,50,49
Everard Gaydon,Male,15,165,48,91
Mace Streetley,Male,16,140,45,80
Camala Getley,Female,16,140,44,2
Devonne Lochrie,Genderqueer,16,141,42,46
Brockie Roxburgh,Male,19,149,43,45
Greg Whitlam,Bigender,17,156,45,58
Leslie Matzl,Male,15,169,45,62
Ransom Worley,Bigender,17,164,45,68
Tammi Biesterfeld,Female,17,160,43,33
Nicolette Bodsworth,Female,16,140,41,21
Inglebert Colgrave,Male,18,142,43,49
Hoebart Bonwell,Genderqueer,18,155,48,74
Wendye Lebrun,Female,17,142,47,63
Vonny Landa,Female,19,149,50,83
Sara Enevoldsen,Female,16,145,41,91
Maje Sallnow,Male,19,152,48,61
Rey Meldrum,Female,19,153,48,9
Elianore Turpin,Female,19,170,42,98
Stanley Ralph,Genderqueer,15,168,42,45
Correy Nequest,Male,17,142,43,19
Roberto Pevreal,Male,15,151,47,21
Yurik Dovydenas,Male,19,156,45,27
Isabelle Slide,Female,17,162,46,73
Bruno Maberley,Male,18,150,44,16
Rinaldo Gosse,Male,18,150,46,31
Hewet Hutchence,Male,16,140,40,62
Hasty Venable,Male,17,146,42,30
Frances Lobell,Female,17,140,48,18
Winne Jammet,Female,19,162,42,65
Johann Leppington,Non-binary,16,140,48,81
Zerk Jenkyn,Male,15,162,50,71
Karolina Magnar,Female,15,157,47,20
Ariana Dawkes,Female,16,163,41,60
Revkah O'Donnell,Female,19,164,41,35
Odelia Rodda,Female,16,168,47,21
Carry Boulde,Female,19,143,47,19
Kimberly Hungerford,Bigender,15,149,41,68
Emera Spires,Female,19,170,46,26
Jaye Grent,Male,15,155,46,3
Elora Coate,Non-binary,17,144,42,47
Jude McGoogan,Genderqueer,18,141,41,55
Nissy Drinkale,Polygender,16,157,44,91
Sonni Savine,Female,15,141,46,50
Suzann Crack,Female,18,143,44,34
Ernesta Orrett,Female,16,140,44,70
Annabelle Wykey,Female,16,141,41,60
Dukie Rothera,Male,16,164,50,17
Carly Gregson,Male,16,152,47,15
Waylon Hinners,Male,18,144,40,20
Sonnnie Pitway,Female,16,154,47,16
Gabie Kreuzer,Male,17,147,46,97
Branden Coldicott,Male,16,145,41,49
Annalee Callander,Female,18,158,40,40
Henryetta Chappell,Female,19,165,41,23
Emmaline Lovegrove,Female,17,168,40,14
Alys McBean,Agender,16,159,49,68
Hammad Liger,Male,16,158,43,18
Electra Tutton,Female,16,156,48,39
Kat Besson,Female,16,170,41,56
Ronna Brakespear,Female,16,147,46,44
Ozzie Rice,Male,16,163,48,83
Dulcy Limming,Female,18,151,49,13
Ailis Shaxby,Female,18,167,43,50
Charla Perone,Female,16,140,42,26
Valentino Casetta,Male,19,170,50,2
Werner Howick,Male,18,168,47,24
Mel Yele,Male,19,170,42,11
Genevra Breyt,Female,15,158,46,19
Kriste Entissle,Female,19,141,40,47
Dalia Cumpsty,Female,18,164,46,20
Tisha Jeandeau,Female,16,167,43,29
Florence Sherville,Female,16,152,41,4
Malinde Coverly,Female,18,164,40,71
Lesya Tullett,Female,17,145,49,62
Holli Buck,Female,17,141,45,98
Christos Hecks,Male,15,168,48,16
Ysabel Feasby,Female,15,155,45,91
Jarid Blayney,Male,19,142,44,78
Hieronymus Dugmore,Male,17,157,43,40
Aguste Harken,Male,18,144,48,29
Rowney Fuxman,Male,18,164,47,0
Aylmar Philippet,Male,15,160,47,22
Westley Pfertner,Male,15,165,49,78
Eyde Oakwood,Female,17,162,46,87
Lishe Nial,Female,15,160,45,24
Che Kort,Male,19,142,42,38
Emlynne Bownas,Female,18,149,44,48
Lilly Croad,Female,19,141,50,32
Aubrey Roantree,Female,19,154,42,68
Delmore Fuzzard,Male,18,145,50,32
Alphonse Kaesmakers,Male,19,144,41,24
Darci Bim,Female,19,159,41,28
Tarra Hurd,Female,19,141,45,78
Andrei Ambrozewicz,Female,19,163,41,58
Gertruda Pym,Female,16,140,48,53
Bealle Stranaghan,Bigender,16,166,44,59
Rod Hiddersley,Male,17,163,49,1
Antonina Seamer,Agender,16,162,50,51
Vassily Everett,Male,17,154,47,92
Jonell Howell,Female,15,140,42,2
Chalmers Tolchard,Male,18,147,46,20
Cece Dahlman,Male,16,164,42,60
Reeta Pietranek,Female,19,149,47,6
Fredericka Dragon,Female,17,144,47,29
Rurik Claridge,Male,18,145,43,13
Bartholemy Iredale,Male,18,140,40,55
Enriqueta Allchorne,Female,18,167,50,91
Nehemiah Artindale,Male,16,151,46,3
Cris Bordessa,Male,15,148,46,70
Trudy Bennen,Female,17,154,49,46
Lulita Smedmoor,Polygender,17,157,43,44
Mufinella Chick,Female,19,149,47,35
Cilka Oddie,Female,16,168,45,51
Consuelo Woodbridge,Female,18,145,40,83
Jillayne Kulas,Female,17,142,49,61
Rockey Ingerson,Male,17,152,50,22
Fritz Pettyfer,Male,15,140,44,76
Sutherlan Goodricke,Genderfluid,18,155,49,17
Sofia Bolwell,Female,17,167,48,36
Lida Eick,Female,15,170,46,86
Marchall Robard,Male,16,161,45,16
Stearne Waggatt,Male,15,151,47,45
Lorrayne Clayton,Bigender,16,157,48,39
Bengt Pennrington,Male,16,148,44,77
Michail Eich,Male,18,164,49,16
Vasily Blaza,Male,18,156,43,64
Lance Inderwick,Male,15,155,46,3
Bradley Aitchinson,Male,18,167,42,52
Keith Petasch,Male,17,158,47,4
Aldridge Lumsdale,Male,18,160,40,34
Gaby Marquand,Female,16,155,40,92
Mindy Bolus,Female,19,166,49,15
Gaynor Fawdery,Genderqueer,19,167,47,10
Octavia Bellew,Female,18,143,48,48
Clayson Enns,Male,16,142,49,22
Zoe Busse,Female,17,160,50,60
Lyda Hache,Female,19,164,40,11
Emelen Eagles,Male,18,170,43,75
Nadia Wasmuth,Female,19,152,45,99
Land Jowsey,Male,16,162,44,9
Reid Younglove,Male,15,153,40,9
Con Beakes,Male,16,168,43,94
Odella Laverack,Female,18,154,42,2
Morgana Bartles,Female,19,143,41,86
Ervin Tolcharde,Male,16,157,45,79
Karia Roistone,Female,15,158,50,18
Annecorinne Sellack,Bigender,15,163,48,1
Leonanie McGougan,Female,16,142,46,88
Thaddeus Durnall,Male,16,164,46,54
Jorry Bresner,Female,15,140,47,55
Robinetta Haily,Bigender,19,161,48,71
Ash Halleybone,Male,18,161,47,54
Lonnie Janczak,Female,16,159,45,99
Chevalier Whitmarsh,Male,19,145,50,62
Paule Berriman,Female,19,168,45,67
Isidoro Cuniam,Male,17,155,46,76
Katlin Fishlee,Female,17,148,45,39
Xena Rawlyns,Female,15,160,48,98
Albina Fellman,Female,19,142,40,2
Jake Sanbroke,Male,19,152,46,91
Rudiger Balducci,Male,19,159,40,43
Kellyann Joburn,Female,18,157,40,42
Art Haydock,Male,16,149,45,55
Romona Sibthorpe,Female,18,157,47,37
Merrill Hucke,Female,17,150,47,33
Glyn Graffham,Female,17,146,41,100
Ardella Embra,Female,19,166,43,83
Ed Scintsbury,Male,18,143,44,81
Banky Chaundy,Male,15,151,45,81
Eloise Schouthede,Female,17,154,50,29
Zedekiah Wolfindale,Male,16,143,46,42
Jayson Evensden,Male,15,169,48,33
Pauly Jeandot,Male,17,168,49,82
Xaviera Spadazzi,Female,15,158,40,0
Peta Brummell,Female,15,153,40,65
Ginevra Cocher,Female,16,145,45,87
Fraser Filipiak,Male,17,163,50,66
Emelen Dreakin,Male,15,140,44,81
Marianne Wrought,Female,19,154,49,28
Belvia Domelow,Non-binary,18,140,48,15
Griff Wozencraft,Male,19,161,45,7
Alissa Nerne,Female,16,166,48,24
Susanna Raynton,Female,16,166,47,33
Kala Huot,Female,19,143,43,66
Garvey Suart,Male,18,146,50,78
Abner Glas,Male,18,146,40,2
Clyve Caso,Male,16,169,41,67
Kerry O'Doran,Agender,17,149,40,64
Cliff Hawken,Male,17,144,50,43
Philly Goodboddy,Female,17,144,42,29
Rayshell Brady,Female,15,147,46,38
Ezechiel Kinneir,Bigender,18,156,44,54
Normand Triggol,Male,17,144,43,4
Chelsie Stockoe,Female,18,156,40,43
Antoinette Jauncey,Female,17,152,43,75
Basil Jakubski,Male,16,164,47,91
Beau Bartleman,Male,16,162,47,50
Abey Casburn,Polygender,19,151,44,94
Adams Tonkes,Male,18,165,43,23
